Till statsrådet Lars-Erik Lövdén ;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 7//RO|NOM//nummod//4 januari//NN|UTR|SIN|IND|NOM//obl//6 1999//RG|NOM//nummod//4 tillkallade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 en//DT|UTR|SIN|IND//det//10 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//10 kommitté//NN|UTR|SIN|IND|NOM//obj//6 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//nmod//10 att//IE//mark//14 lämna//VB|INF|AKT//acl//10 förslag//NN|NEU|SIN|IND|NOM//obj//14 om//PP//mark//23 hur//HA//advmod//23 den//DT|UTR|SIN|DEF//det//20 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 konsumentpolitiken//NN|UTR|SIN|DEF|NOM//nsubj//23 skall//VB|PRS|AKT//aux//23 kunna//VB|INF|AKT//aux//23 ge//VB|INF|AKT//acl//15 människor//NN|UTR|PLU|IND|NOM//amod//25 förutsättningar//NN|UTR|PLU|IND|NOM//obj//23 att//IE//mark//27 känna//VB|INF|AKT//acl//25 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//27 trygga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//27 som//KN//mark//31 konsumenter//NN|UTR|PLU|IND|NOM//obj//27 och//KN//cc//33 ha//VB|INF|AKT//conj//27 ett//DT|NEU|SIN|IND//det//36 starkt//JJ|POS|NEU|SIN|IND|NOM//amod//36 inflytande//NN|NEU|SIN|IND|NOM//obj//33 över//PP//case//39 sin//PS|UTR|SIN|DEF//nmod:poss//39 vardagssituation//NN|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//6
Till statsrådet Lars-Erik Lövdén ;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//11 (//PAD//punct//1 Fi//PM|NOM//appos//1 1999:01//RG|NOM//flat//3 )//PAD//punct//1 skall//VB|PRS|AKT//aux//11 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//11 i//PP//case//10 en//DT|UTR|SIN|IND//det//10 delrapport//NN|UTR|SIN|IND|NOM//obl//11 utvärdera//VB|INF|AKT//ROOT//11 de//DT|UTR/NEU|PLU|DEF//det//14 organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 formerna//NN|UTR|PLU|DEF|NOM//obj//11 och//KN//cc//16 lämna//VB|INF|AKT//conj//11 förslag//NN|NEU|SIN|IND|NOM//obj//16 om//PP//case//19 formerna//NN|UTR|PLU|DEF|NOM//nmod//17 för//PP//case//24 det//DT|NEU|SIN|DEF//det//24 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//24 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 engagemanget//NN|NEU|SIN|DEF|NOM//nmod//19 i//PP//case//28 det//DT|NEU|SIN|DEF//det//28 nordiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 miljömärkningssystemet//NN|NEU|SIN|DEF|NOM//nmod//24 .//MAD//punct//11
Till statsrådet Lars-Erik Lövdén ;Den//DT|UTR|SIN|DEF//det//2 12//RG|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//obl//4 1999//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//6 Anita//PM|NOM//nsubj:pass//4 Johansson//PM|NOM//flat:name//6 (//PAD//punct//6 s//NN|AN//obl//4 )//PAD//punct//9 till//PP//case//12 ordförande//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//14 kommittén//NN|UTR|SIN|DEF|NOM//obl//4 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;Till//PP//case//18 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 ledamöter//NN|UTR|PLU|IND|NOM//obl//19 utsågs//VB|PRT|SFO//parataxis//4 samma//DT|UTR/NEU|SIN/PLU|IND//det//23 dag//NN|UTR|SIN|IND|NOM//nmod//23 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//23 Berit//PM|NOM//nsubj:pass//19 Adolfsson//PM|NOM//flat:name//23 (//PAD//punct//23 m//PM|NOM//appos//23 )//PAD//punct//19 och//KN//cc//29 Birgitta//PM|NOM//conj//4 Ahlqvist//PM|NOM//flat//29 (//PAD//punct//32 s//PM|NOM//nmod//29 )//PAD//punct//32 ,//MID//punct//35 marknadschefen//NN|UTR|SIN|DEF|NOM//nmod//36 Thord//PM|NOM//appos//29 Andersson//PM|NOM//flat:name//36 (//PAD//punct//36 kd//PM|NOM//flat:name//36 )//PAD//punct//36 ,//MID//punct//42 f.d.//JJ|AN//parataxis//4 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nsubj//42 Lennart//PM|NOM//nmod//45 Brunander//PM|NOM//obj//42 (//PAD//punct//45 c//NN|NEU|SIN|IND|NOM//obl//42 )//PAD//punct//42 och//KN//cc//50 Camilla//PM|NOM//conj//4 Dahlin-Andersson//PM|NOM//flat:name//50 (//PAD//punct//50 fp//PM|NOM//appos//50 )//PAD//punct//50 ,//MID//punct//57 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//57 Nils-Göran//PM|NOM//appos//50 Holmqvist//PM|NOM//flat:name//57 (//PAD//punct//57 s//PM|NOM//nmod//57 )//PAD//punct//57 ,//MID//punct//63 Tanja//PM|NOM//appos//50 Linderborg//PM|NOM//flat:name//63 (//PAD//punct//64 v//NN|NEU|SIN|IND|NOM//nummod//63 )//PAD//punct//63 och//KN//cc//69 Karin//PM|NOM//conj//50 Olsson//PM|NOM//flat:name//69 (//PAD//punct//69 s//PM|NOM//nmod//69 )//PAD//punct//69 samt//KN//cc//76 studeranden//NN|UTR|SIN|DEF|NOM//nmod//76 Paulo//PM|NOM//conj//50 Silva//PM|NOM//flat:name//76 (//PAD//punct//76 mp//PM|NOM//appos//76 )//PAD//punct//50 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;Den//DT|UTR|SIN|DEF//det//2 8//RO|NOM//nummod//2 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//4 1999//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 att//IE//mark//8 som//KN//mark//8 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//8 ingå//VB|INF|AKT//ccomp//4 i//PP//case//13 kommittén//NN|UTR|SIN|DEF|NOM//det//13 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//compound//13 Carina//PM|NOM//flat//11 Crantz//PM|NOM//obl//8 ,//MID//punct//15 Finansdepartementet//NN|NEU|SIN|DEF|NOM//obl//8 ,//MID//punct//15 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//18 Axel//PM|NOM//appos//15 Edling//PM|NOM//flat:name//18 ,//MID//punct//21 Konsumentverket//NN|NEU|SIN|DEF|NOM//conj//18 ,//MID//punct//24 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//24 Kerstin//PM|NOM//conj//18 af//PP//compound:prt//18 Jochnick//PM|NOM//conj//15 ,//MID//punct//15 Finansinspektionen//NN|UTR|SIN|DEF|NOM//obl//8 ,//MID//punct//30 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//28 Magnus//PM|NOM//flat:name//30 Medin//PM|NOM//flat:name//31 ,//MID//punct//34 Justitiedepartementet//PM|NOM//conj//28 och//KN//cc//36 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//37 Carina//PM|NOM//conj//28 Törnblom//PM|NOM//flat:name//37 ,//MID//punct//40 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//28 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;Den//DT|UTR|SIN|DEF//det//44 8//RO|NOM//nummod//44 november//NN|UTR|SIN|IND|NOM//nsubj:pass//46 1999//RG|NOM//nummod//44 entledigades//VB|PRT|SFO//parataxis//4 Magnus//PM|NOM//nsubj:pass//46 Medin//PM|NOM//flat:name//47 och//KN//cc//53 i//PP//case//52 hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//52 ställe//NN|NEU|SIN|IND|NOM//obl//53 förordnades//VB|PRT|SFO//conj//46 samma//DT|UTR/NEU|SIN/PLU|IND//det//55 dag//NN|UTR|SIN|IND|NOM//obl//53 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//xcomp//53 Anne//PM|NOM//flat:name//56 Mellqvist//PM|NOM//flat:name//57 ,//MID//punct//60 Justitiedepartementet//PM|NOM//conj//56 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//obj//2 .RQVXPHQWSROLWLVND//MID//punct//2 NRPPLWWpQ//PM|NOM//obl//2  //_SP////5 och//KN//cc//8 har//VB|PRS|AKT//aux//13 den//DT|UTR|SIN|DEF//det//11 1//RO|NOM//nummod//11 oktober//NN|UTR|SIN|IND|NOM//obl//13 1999//RG|NOM//nummod//11 presenterat//VB|SUP|AKT//conj//2 en//DT|UTR|SIN|IND//det//15 delrapport//NN|UTR|SIN|IND|NOM//obj//13 ,//MID//punct//22 )//PAD//punct//22 LQDQVLHOOD//PM|NOM//nmod//22 WMlQVWHU//PAD//cc//18 IUnQ//MID//punct//18 HWW//PM|NOM//nmod//22 NRQVXPHQWSHUVSHNWLY//PM|NOM//conj//13 .//MAD//punct//2
Till statsrådet Lars-Erik Lövdén ;I//PP//case//2 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//2 arbete//NN|NEU|SIN|IND|NOM//obl//19 med//PP//case//5 en//DT|UTR|SIN|IND//det//5 utvärdering//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//9 de//DT|UTR/NEU|PLU|DEF//det//9 organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 formerna//NN|UTR|PLU|DEF|NOM//nmod//5 för//PP//case//13 och//KN//fixed//10 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 engagemang//NN|NEU|SIN|IND|NOM//nmod//2 i//PP//case//17 den//DT|UTR|SIN|DEF//det//17 nordiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 miljömärkningen//NN|UTR|SIN|DEF|NOM//nmod//13 har//VB|PRS|AKT//aux//19 deltagit//VB|SUP|AKT//ROOT//19 de//PN|UTR/NEU|PLU|DEF|SUB//det//23 den//DT|UTR|SIN|DEF//det//23 8//RO|NOM//nummod//23 mars//NN|UTR|SIN|IND|NOM//obj//19 1999//RG|NOM//nummod//23 förordnade//VB|PRT|AKT//amod//68 experterna//NN|UTR|PLU|DEF|NOM//nmod//28 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//28 Charlotta//PM|NOM//nsubj//25 Andersson//PM|NOM//flat//28 ,//MID//punct//28 Miljödepartementet//NN|NEU|SIN|DEF|NOM//conj//28 ,//MID//punct//31 generalsekreteraren//NN|UTR|SIN|DEF|NOM//obj//25 i//PP//case//36 Sveriges//PM|GEN//nmod:poss//36 Konsumentråd//NN|NEU|SIN|IND|NOM//nmod//33 Maicen//NN|UTR|SIN|DEF|NOM//nmod//47 Ekman//PM|NOM//flat//37 ,//MID//punct//40 generalsekreteraren//NN|UTR|SIN|DEF|NOM//conj//37 i//PP//case//43 Sveriges//PM|GEN//nmod:poss//43 Konsumenter//NN|UTR|PLU|IND|NOM//nmod//40 i//PP//case//46 Samverkan//NN|UTR|SIN|IND|NOM//nmod//46 Bengt//PM|NOM//nmod//40 Ingerstam//PM|NOM//nmod//33 ,//MID//punct//50 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//50 Charlotte//PM|NOM//appos//25 Nilenheim//PM|NOM//flat:name//50 ,//MID//punct//53 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//50 ,//MID//punct//53 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//56 Herbert//PM|NOM//appos//50 Silbermann//PM|NOM//flat//56 ,//MID//punct//59 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//50 ,//MID//punct//61 direktören//NN|UTR|SIN|DEF|NOM//nmod//62 Walter//PM|NOM//conj//50 Sköldefors//PM|GEN//flat//62 ,//MID//punct//50 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//66 Handel//NN|UTR|SIN|IND|NOM//appos//25 ,//MID//punct//66 direktören//NN|UTR|SIN|DEF|NOM//nmod//69 Anders//PM|NOM//obj//19 Stenlund//PM|NOM//flat//69 ,//MID//punct//73 Sveriges//PM|GEN//nmod:poss//73 Industriförbund//NN|NEU|SIN|IND|NOM//conj//69 och//KN//cc//76 professor//NN|UTR|SIN|IND|NOM//nmod//76 Sven//PM|NOM//conj//69 Thiberg//PM|NOM//flat:name//76 ,//MID//punct//76 SIS//PM|NOM//nmod//80 Miljömärkning//NN|UTR|SIN|IND|NOM//appos//76 AB//NN|AN//flat:name//76 .//MID//punct//19
Till statsrådet Lars-Erik Lövdén ;Den//DT|UTR|SIN|DEF//det//85 24//RG|NOM//nummod//85 juni//NN|UTR|SIN|IND|NOM//obl//87 1999//RG|NOM//nummod//85 entledigades//VB|PRT|SFO//parataxis//19 Herbert//PM|NOM//nsubj:pass//87 Silbermann//PM|NOM//flat//88 och//KN//cc//92 samma//DT|UTR/NEU|SIN/PLU|IND//det//92 dag//NN|UTR|SIN|IND|NOM//obl//93 förordnades//VB|PRT|SFO//conj//87 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//95 Pernilla//PM|NOM//nsubj//93 Larsson//PM|NOM//flat//95 ,//MID//punct//98 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//xcomp//93 .//MAD//punct//19
Till statsrådet Lars-Erik Lövdén ;På//PP//case//2 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//2 uppdrag//NN|NEU|SIN|IND|NOM//obl//3 har//VB|PRS|AKT//aux//8 advokaten//NN|UTR|SIN|DEF|NOM//nmod//5 Olof//PM|NOM//nsubj//3 Rågmark//PM|NOM//flat:name//5 närmare//AB|KOM//advmod//8 utrett//VB|SUP|AKT//ROOT//8 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 frågeställningar//NN|UTR|PLU|IND|NOM//obj//8 som//HP|-|-|-//obl//14 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//14 har//VB|PRS|AKT//aux//14 använt//VB|SUP|AKT//acl:relcl//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//14 av//PP//case//11 .//MAD//punct//8
Till statsrådet Lars-Erik Lövdén ;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 22//RG|NOM//nummod//5 februari//NN|UTR|SIN|IND|NOM//nsubj:pass//2 1999//RG|NOM//nummod//7 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//8 Eva//PM|NOM//dep//2 Lindström//PM|NOM//flat:name//8 ,//MID//punct//8 den//DT|UTR|SIN|DEF//det//13 25//RG|NOM//nummod//13 mars//NN|UTR|SIN|IND|NOM//nmod//14 jur.//NN|AN//nmod//15 kand//NN|AN//conj//8 .//MID//punct//8
Till statsrådet Lars-Erik Lövdén ;Kari//PM|NOM//appos//8 Björkqvist//PM|NOM//flat:name//17 och//KN//cc//21 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//21 Gunnar//PM|NOM//conj//17 Lavett//PM|NOM//flat:name//21 (//PAD//punct//21 huvudsekreterare//NN|UTR|SIN|IND|NOM//appos//21 )//PAD//punct//17 ,//MID//punct//33 samt//KN//cc//33 den//DT|UTR|SIN|DEF//det//30 6//RO|NOM//nummod//30 september//NN|UTR|SIN|IND|NOM//nmod//33 1999//RG|NOM//nummod//32 hovrättsassessorerna//NN|UTR|PLU|DEF|NOM//nmod//33 Ulf//PM|NOM//dep//2 Ljungdahl//PM|NOM//flat:name//33 och//KN//cc//36 Johan//PM|NOM//conj//33 Sjöö//PM|NOM//flat//36 .//MAD//punct//33
Till statsrådet Lars-Erik Lövdén ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 sitt//PS|NEU|SIN|DEF//nmod:poss//5 delbetänkande//NN|NEU|SIN|IND|NOM//obj//3 1RUGLVN//RG|NOM//obl//3 PLOM|PlUNQLQJ//KN//amod//8 GHW//PM|NOM//nmod//9 VWDWOLJD//PM|NOM//obj//3 HQJDJHPDQJHW//PM|NOM//flat//9  //_SP////10 (//PAD//punct//9 SOU//PM|NOM//nmod//14 1999:145//RG|NOM//appos//9 )//PAD//punct//3 .//MAD//punct//3
Till statsrådet Lars-Erik Lövdén ;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//obj//24 vad//HP|NEU|SIN|IND//nsubj//3 gäller//VB|PRS|AKT//acl:relcl//1 en//DT|UTR|SIN|IND//det//5 delrapport//NN|UTR|SIN|IND|NOM//obj//3 om//PP//case//9 de//DT|UTR/NEU|PLU|DEF//det//9 organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 formerna//NN|UTR|PLU|DEF|NOM//obl//3 för//PP//nmod//9 -//MID//punct//1 och//KN//cc//16 det//DT|NEU|SIN|DEF//det//16 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//16 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 engagemanget//NN|NEU|SIN|DEF|NOM//conj//1 i//PP//nmod//16 -//MID//punct//1 det//DT|NEU|SIN|DEF//det//21 nordiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 miljömärkningssystemet//NN|NEU|SIN|DEF|NOM//nsubj//24 är//VB|PRS|AKT//cop//24 härmed//AB//advmod//24 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//24 .//MAD//punct//24
Till statsrådet Lars-Erik Lövdén ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//obl//0 1999//RG|NOM//nummod//2

